t=2023-03-14T10:23:35+0000 lvl=info msg="no configuration paths supplied"
t=2023-03-14T10:23:35+0000 lvl=info msg="using configuration at default config path" path=/home/whitesun13/.config/ngrok/ngrok.yml
t=2023-03-14T10:23:35+0000 lvl=info msg="open config file" path=/home/whitesun13/.config/ngrok/ngrok.yml err=nil
t=2023-03-14T10:23:35+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2023-03-14T10:23:36+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2023-03-14T10:23:36+0000 lvl=info msg="client session established" obj=csess id=2655b144ad39
t=2023-03-14T10:23:36+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://9749-85-91-223-159.eu.ngrok.io
t=2023-03-14T10:23:36+0000 lvl=info msg="update available" obj=updater
t=2023-03-14T10:25:04+0000 lvl=info msg="join connections" obj=join id=d3d198b6ca61 l=127.0.0.1:8080 r=85.91.223.159:56782
t=2023-03-14T10:25:05+0000 lvl=info msg="join connections" obj=join id=ce413a32754c l=127.0.0.1:8080 r=85.91.223.159:56782
t=2023-03-14T10:41:26+0000 lvl=info msg="join connections" obj=join id=363ef0635939 l=127.0.0.1:8080 r=140.82.115.84:28215
t=2023-03-14T10:56:07+0000 lvl=info msg="join connections" obj=join id=a9451442182e l=127.0.0.1:8080 r=140.82.115.86:33635
t=2023-03-14T11:00:34+0000 lvl=info msg="join connections" obj=join id=3fa4a258c202 l=127.0.0.1:8080 r=140.82.115.52:57459
t=2023-03-14T11:01:33+0000 lvl=info msg="join connections" obj=join id=c40978a06e1a l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=2cc69f9bd3bf l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=735432b3e4a7 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=e2c0b5127ae2 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=46e8eca3879e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=bbe37360d09f l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=822377956216 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=fb5912893098 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=3770a5ce224e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=9e825a1d7da9 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=c87eb1ea9b42 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=1086cc69ed1f l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=957e226c1ee6 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=82308f11eda5 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=f4f5c085d07b l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=f569e3e26985 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=af343d6624bc l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=f9a8a4dd5917 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=7bb5d131851c l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=bc369a21a519 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=8fca4e70d18e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=591315c80e1f l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=dff21de108a4 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=edf4ecc071dc l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=076c9cb3ea62 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=caf15e44588a l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=8949a99b9866 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:49+0000 lvl=info msg="join connections" obj=join id=1eee7f01e82d l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=9e1ea97ceaae l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=2f8c4874d8fb l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=c08e6cb4db30 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=4ff186456c77 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=c4eca69e215e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=089355106fa0 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=e32d793fc2fa l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:01:50+0000 lvl=info msg="join connections" obj=join id=cf14e0320004 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:03+0000 lvl=info msg="join connections" obj=join id=3feb5609ce11 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=293f05a4afd4 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=f3fa8a996302 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=b4533d8c6a06 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=a6eec089bd1f l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=a472ab76c944 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=2b4c6e313d18 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=70c07c414baa l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=045f6b879b07 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=5aee3893c442 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=7df221d9305d l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=743b48d45b19 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=dea932f0efc9 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=7764c1a2642f l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=ab9c5ad9b878 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=8a79dd07023c l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=e92641a81d37 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=16b18f72eab7 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=095288845ac8 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=9b68f8854a4e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=711b5219829e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=58ccb2e38612 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=11118ddd4745 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=fcbaa1a4fa87 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=88f62a80b146 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=d026755fedf0 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=e2896fb06c67 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=6ff8f8ccae27 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=09ee9c744323 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=3cbed080091e l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=469090d03083 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=d9f8d3cb2463 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=aa7eeee76d55 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=237e03776aaa l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=1a6a27f81545 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=8902c6a3f83c l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:04+0000 lvl=info msg="join connections" obj=join id=0668b91d26fc l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:36+0000 lvl=info msg="join connections" obj=join id=0028709d8c30 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:36+0000 lvl=info msg="join connections" obj=join id=238a61d62f91 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:36+0000 lvl=info msg="join connections" obj=join id=e32f77006618 l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:36+0000 lvl=info msg="join connections" obj=join id=feff7cda0f2a l=127.0.0.1:8080 r=85.91.223.159:57233
t=2023-03-14T11:02:36+0000 lvl=info msg="join connections" obj=join id=a8ef65ddd3b4 l=127.0.0.1:8080 r=85.91.223.159:57233
